iter	RMSE
0	14.99084936
1	14.62105045
2	14.24406701
3	13.88042738
4	13.5410649
5	13.2480372
6	12.96011819
7	12.68911766
8	12.41299682
9	12.11423011
10	11.83685931
11	11.59014879
12	11.36535168
13	11.10511595
14	10.86449511
15	10.62103425
16	10.41248229
17	10.21253361
18	10.00567643
19	9.808066244
20	9.633319337
21	9.464007262
22	9.290946116
23	9.140524867
24	8.98257876
25	8.830646041
26	8.6831839
27	8.560087367
28	8.421940073
29	8.297692618
30	8.192522983
31	8.080570365
32	7.96221748
33	7.857077544
34	7.754636857
35	7.66476419
36	7.568069927
37	7.498046239
38	7.411519472
39	7.334521101
40	7.25417214
41	7.180673332
42	7.10757796
43	7.046682818
44	6.977568809
45	6.915893432
46	6.848293026
47	6.790149643
48	6.730909157
49	6.673157192
50	6.62085448
51	6.56165521
52	6.513999469
53	6.467216288
54	6.420441092
55	6.375351794
56	6.331321539
57	6.295765621
58	6.254931336
59	6.223652143
60	6.190437143
61	6.157161594
62	6.128349613
63	6.092654629
64	6.064564393
65	6.03498258
66	6.004061928
67	5.976622011
68	5.939078164
69	5.910681554
70	5.88568143
71	5.86102544
72	5.844446109
73	5.820563918
74	5.800740325
75	5.779313196
76	5.763883662
77	5.745679417
78	5.725591388
79	5.704360178
80	5.689275407
81	5.676466671
82	5.662058031
83	5.647086294
84	5.633084212
85	5.621907175
86	5.608178866
87	5.597382949
88	5.581857599
89	5.562792165
90	5.548854594
91	5.541122486
92	5.524365762
93	5.516467091
94	5.50517078
95	5.494162624
96	5.486253705
97	5.471374123
98	5.460401839
99	5.449035701
100	5.437459015
101	5.427971262
102	5.419714168
103	5.410637798
104	5.4024168
105	5.395498294
106	5.386861809
107	5.380213385
108	5.373797715
109	5.366087227
110	5.364345595
111	5.356469441
112	5.345822788
113	5.337919199
114	5.333052475
115	5.325431089
116	5.318236871
117	5.313219774
118	5.30588011
119	5.295057724
120	5.286382145
121	5.281419505
122	5.273108318
123	5.264963117
124	5.25937046
125	5.251259526
126	5.246555821
127	5.241951375
128	5.235256195
129	5.226243894
130	5.217241969
131	5.2090282
132	5.200743661
133	5.191732304
134	5.187077559
135	5.183004796
136	5.176677519
137	5.171590635
138	5.166053445
139	5.161682857
140	5.158741661
141	5.156391004
142	5.150796347
143	5.142315319
144	5.138946503
145	5.134280856
146	5.12882117
147	5.121577971
148	5.119126218
149	5.112901972
150	5.108562384
151	5.106142749
152	5.100373964
153	5.095882349
154	5.091363596
155	5.086617917
156	5.083063749
157	5.078991035
158	5.07089121
159	5.066056726
160	5.05988586
161	5.056783526
162	5.052433572
163	5.050475695
164	5.047579124
165	5.041874109
166	5.039554499
167	5.035399837
168	5.03085683
169	5.028010828
170	5.023495346
171	5.019895227
172	5.01514806
173	5.012777774
174	5.00671467
175	5.002929045
176	4.998187176
177	4.991330942
178	4.986254044
179	4.981875112
180	4.978094972
181	4.973159148
182	4.966350319
183	4.962246018
184	4.958971187
185	4.954271404
186	4.951261932
187	4.947940631
188	4.943639995
189	4.940422058
190	4.936348772
191	4.930479947
192	4.927438561
193	4.923442238
194	4.918685557
195	4.915480947
196	4.909482716
197	4.903269412
198	4.899194265
199	4.893148253
200	4.888064773
201	4.883702961
202	4.881728281
203	4.877230151
204	4.871910264
205	4.868877731
206	4.864887047
207	4.863844679
208	4.860670412
209	4.854156616
210	4.848707147
211	4.845835717
212	4.841088593
213	4.835051389
214	4.832602303
215	4.829885774
216	4.825986128
217	4.823233978
218	4.819173162
219	4.815552388
220	4.811458741
221	4.808131203
222	4.805924182
223	4.801439754
224	4.798755761
225	4.795733943
226	4.791797805
227	4.789254636
228	4.787154171
229	4.782116788
230	4.7791712
231	4.77488103
232	4.772593751
233	4.764725841
234	4.761149788
235	4.756722444
236	4.750909694
237	4.749001567
238	4.746632667
239	4.743235756
240	4.738447141
241	4.732095405
242	4.728556641
243	4.722476851
244	4.720519842
245	4.7177114
246	4.713575549
247	4.710891468
248	4.709222659
249	4.70538804
250	4.701580563
251	4.699549488
252	4.694463971
253	4.691623701
254	4.686350216
255	4.681379654
256	4.676620418
257	4.671797779
258	4.666479699
259	4.664440113
260	4.662967545
261	4.661229172
262	4.658501549
263	4.655050417
264	4.651672684
265	4.64604535
266	4.638390481
267	4.63067955
268	4.628047292
269	4.624584675
270	4.61917877
271	4.614096423
272	4.612268128
273	4.609205478
274	4.607941425
275	4.604981253
276	4.598483669
277	4.594645725
278	4.591811021
279	4.589179812
280	4.588465363
281	4.584802047
282	4.580896281
283	4.576302015
284	4.575003091
285	4.570166817
286	4.566141487
287	4.560124829
288	4.553436413
289	4.550956206
290	4.54706379
291	4.541343826
292	4.535428818
293	4.533285079
294	4.531683398
295	4.527006788
296	4.523731382
297	4.518886237
298	4.516467196
299	4.512742697
300	4.508613383
301	4.503604112
302	4.497950372
303	4.494147848
304	4.488851968
305	4.487985907
306	4.485670892
307	4.483348655
308	4.480202345
309	4.476838816
310	4.47617306
311	4.472460926
312	4.467802973
313	4.465283495
314	4.460263316
315	4.459772159
316	4.458445985
317	4.450894252
318	4.449432858
319	4.44391082
320	4.441192078
321	4.437013406
322	4.433909066
323	4.429735457
324	4.42715862
325	4.420409714
326	4.41914866
327	4.41507912
328	4.411275465
329	4.406519116
330	4.405887024
331	4.404783152
332	4.400529426
333	4.398849223
334	4.397523184
335	4.392242188
336	4.387632506
337	4.381794202
338	4.374262172
339	4.372991448
340	4.371008977
341	4.364733748
342	4.360980502
343	4.35757796
344	4.354332561
345	4.353368969
346	4.34941795
347	4.348443119
348	4.342686338
349	4.3389091
350	4.337035258
351	4.334955428
352	4.329846124
353	4.329016901
354	4.325563016
355	4.324424156
356	4.320530413
357	4.319654342
358	4.315677703
359	4.312715775
360	4.309351235
361	4.307658
362	4.305933028
363	4.303024233
364	4.300718171
365	4.300135419
366	4.294419344
367	4.292558827
368	4.289012562
369	4.285910678
370	4.283963888
371	4.281828333
372	4.275423998
373	4.271507298
374	4.265926899
375	4.261269144
376	4.256971111
377	4.256358843
378	4.255817032
379	4.251519664
380	4.247677485
381	4.247134558
382	4.243199043
383	4.239176888
384	4.235260891
385	4.23295337
386	4.230423623
387	4.224336548
388	4.220598266
389	4.215211136
390	4.2130975
391	4.211058731
392	4.207619722
393	4.20560186
394	4.203524861
395	4.200917695
396	4.198848332
397	4.196361009
398	4.19289151
399	4.190039753
400	4.188004985
401	4.183999581
402	4.180527323
403	4.176337042
404	4.171335588
405	4.169601299
406	4.165319188
407	4.160938596
408	4.158184669
409	4.155156725
410	4.152837372
411	4.147733773
412	4.146490821
413	4.145248474
414	4.144124809
415	4.141201286
416	4.14016592
417	4.139668952
418	4.137655749
419	4.132363994
420	4.130740451
421	4.130240402
422	4.128439215
423	4.125981975
424	4.12498751
425	4.121319871
426	4.11730091
427	4.11598664
428	4.113286226
429	4.109418715
430	4.108660875
431	4.104340472
432	4.101482459
433	4.100290867
434	4.098716246
435	4.097235155
436	4.094070281
437	4.090161334
438	4.087666558
439	4.08407338
440	4.082766084
441	4.079086231
442	4.07586636
443	4.072261991
444	4.070988395
445	4.06902543
446	4.068301475
447	4.064828434
448	4.059177001
449	4.053659215
450	4.050368968
451	4.047296807
452	4.045964541
453	4.042602536
454	4.042139457
455	4.03830258
456	4.035136732
457	4.033417575
458	4.032053298
459	4.03065775
460	4.026415407
461	4.024497388
462	4.023998307
463	4.022066162
464	4.017931952
465	4.012372434
